year,month,temp_surf,precip,moisture_upper_soil
2075,3,301.0725097656,348.9583516493,37.9758758545
2075,4,301.4295654297,263.007060159,39.080696106
2075,5,301.4974365234,246.9455713872,38.2162857056
2075,6,301.2312011719,188.0982366856,33.7696075439
2075,7,301.8092651367,14.7107787343,26.3799533844
2075,8,303.5107421875,54.4207547209,19.108537674
2075,9,303.7175292969,57.1189663606,22.1946125031
2075,10,304.8798828125,27.2305096441,34.0657691956
2075,11,303.2149658203,192.7344140131,39.9264945984
2075,12,301.7205810547,301.9303742331,39.0321922302
2076,1,301.1971435547,556.5484673716,37.5568618774
2076,2,301.6793212891,267.8157810587,40.358417511
2076,3,301.6753540039,427.4899866432,41.6246109009
2076,4,302.0726318359,191.0733450204,40.6368675232
2076,5,301.8082885742,261.5298880264,41.1851768494
2076,6,301.5748291016,24.3782577454,39.7605895996
2076,7,302.6666870117,35.7492733165,39.7768592834
2076,8,304.3556518555,17.7235172305,37.7249107361
2076,9,304.8571166992,47.7176236454,40.4382019043
2076,10,303.556640625,145.8235998871,40.2094230652
2076,11,303.3881835938,162.4869166408,38.4789276123
2076,12,301.7687988281,322.1338517033,37.1782188416
2077,1,301.4845581055,537.4547643587,38.5114517212
2077,2,301.2197875977,682.2158982977,39.9251365662
2077,3,301.3665771484,517.2974732704,40.138168335
2077,4,300.9971923828,633.4041533992,40.6462898254
2077,5,301.4419555664,333.1298693083,39.1716308594
2077,6,301.6836547852,146.6274673585,40.2084503174
2077,7,302.0895996094,11.033961302,39.841381073
2077,8,303.291809082,32.0641106518,38.1780891418
2077,9,304.1229248047,52.4303460843,39.4205245972
2077,10,304.012878418,130.2659462672,38.6501693726
2077,11,303.9353637695,172.9563830886,38.3806114197
2077,12,302.2274780273,371.8546517193,38.4731903076
2078,1,302.1709594727,260.582869174,36.2240715027
2078,2,301.6266479492,669.6497322991,36.215221405
2078,3,301.741027832,613.019532524,36.5550117493
2078,4,302.3322143555,192.8161501419,39.5022697449
2078,5,302.1749267578,228.7691272795,39.7537956238
2078,6,302.1093139648,166.9313516468,38.2122306824
2078,7,302.0516357422,57.1871473803,31.0324249268
2078,8,302.7825317383,68.0815558881,22.0942192078
2078,9,304.1045532227,89.1782089602,32.7558174133
